GenomeID	Assembly	Organism_Name	Domain	Phylum	Tandem_repeat_percentage
GCF_000238395	GCA_000238395.4	Pseudoalteromonas arctica A 37-1-2	Bacteria	Proteobacteria	1.090999
GCF_000240185	GCA_000240185.2	Klebsiella pneumoniae subsp. pneumoniae HS11286	Bacteria	Proteobacteria	0.7440734
GCF_000242255	GCA_000242255.3	Frateuria aurantia DSM 6220	Bacteria	Proteobacteria	1.002912
GCF_000242335	GCA_000242335.3	Prevotella dentalis DSM 3688	Bacteria	FCB group	1.868045
GCF_000242595	GCA_000242595.3	Spirochaeta africana DSM 8902	Bacteria	Spirochaetes	1.55403
GCF_000242635	GCA_000242635.3	Solitalea canadensis DSM 3403	Bacteria	FCB group	1.699651
GCF_000242855	GCA_000242855.2	Bacillus amyloliquefaciens IT-45	Bacteria	Terrabacteria group	1.395224
GCF_000243115	GCA_000243115.3	Niabella soli DSM 19437	Bacteria	FCB group	1.109643
GCF_000243135	GCA_000243135.3	Desulfitobacterium dichloroeliminans LMG P-21439	Bacteria	Terrabacteria group	1.942927
GCF_000243155	GCA_000243155.3	Desulfitobacterium dehalogenans ATCC 51507	Bacteria	Terrabacteria group	1.569507
GCF_000246855	GCA_000246855.1	Niastella koreensis GR20-10	Bacteria	FCB group	2.529656
GCF_000246985	GCA_000246985.3	Thermococcus litoralis DSM 5473	Archaea	Euryarchaeota	0.9812287
GCF_000247565	GCA_000247565.1	Wigglesworthia glossinidia endosymbiont of Glossina morsitans morsitans (Yale colony)	Bacteria	Proteobacteria	0.317965
GCF_000247605	GCA_000247605.1	Acetobacterium woodii DSM 1030	Bacteria	Terrabacteria group	2.626377
GCF_000247715	GCA_000247715.1	Gordonia polyisoprenivorans VH2	Bacteria	Terrabacteria group	1.13275
GCF_000250635	GCA_000250635.1	Saprospira grandis str. Lewin	Bacteria	FCB group	4.299791
GCF_000251105	GCA_000251105.1	Methanocella conradii HZ254	Archaea	Euryarchaeota	3.155738
GCF_000252445	GCA_000252445.1	Deinococcus gobiensis I-0	Bacteria	Terrabacteria group	1.345184
GCF_000253015	GCA_000253015.1	Bartonella clarridgeiae 73	Bacteria	Proteobacteria	1.870748
GCF_000253035	GCA_000253035.1	Parachlamydia acanthamoebae UV-7	Bacteria	PVC group	2.286402
GCF_000253055	GCA_000253055.1	Thermoproteus tenax Kra 1	Archaea	TACK group	1.296112
GCF_000253275	GCA_000253275.1	Flavobacterium branchiophilum FL-15	Bacteria	FCB group	1.860622
GCF_000253375	GCA_000253375.1	Mycobacterium canettii CIPT 140010059	Bacteria	Terrabacteria group	2.563445
GCF_000255115	GCA_000255115.3	Desulfosporosinus acidiphilus SJ4	Bacteria	Terrabacteria group	1.960342
GCF_000255135	GCA_000255135.1	Marinitoga piezophila KA3	Bacteria	Thermotogae	1.33995
GCF_000255295	GCA_000255295.1	Corallococcus coralloides DSM 2259	Bacteria	Proteobacteria	3.515924
GCF_000258405	GCA_000258405.1	Ignavibacterium album JCM 16511	Bacteria	FCB group	2.938327
GCF_000258425	GCA_000258425.1	Fervidicoccus fontis Kam940	Archaea	TACK group	0.761035
GCF_000258535	GCA_000258535.2	Paenibacillus mucilaginosus K02	Bacteria	Terrabacteria group	2.360637
GCF_000259275	GCA_000259275.1	Helicobacter cetorum MIT 99-5656	Bacteria	Proteobacteria	1.401584
GCF_000260965	GCA_000260965.1	Methylophaga frappieri	Bacteria	Proteobacteria	1.617995
GCF_000260985	GCA_000260985.3	Methylophaga nitratireducenticrescens	Bacteria	Proteobacteria	1.577287
GCF_000261045	GCA_000261045.2	Serratia inhibens PRI-2C	Bacteria	Proteobacteria	0.9383925
GCF_000262305	GCA_000262305.1	Shimwellia blattae DSM 4481 = NBRC 105725	Bacteria	Proteobacteria	0.9413663
GCF_000264455	GCA_000264455.2	Tistrella mobilis KA081020-065	Bacteria	Proteobacteria	0.9582964
GCF_000264495	GCA_000264495.1	Thermogladius calderae 1633	Archaea	TACK group	0.7173601
GCF_000264765	GCA_000264765.2	Edwardsiella anguillarum ET080813	Bacteria	Proteobacteria	0.9498681
GCF_000264945	GCA_000264945.2	Sphingobium indicum B90A	Bacteria	Proteobacteria	0.5952381
GCF_000265295	GCA_000265295.1	Sulfurospirillum barnesii SES-3	Bacteria	Proteobacteria	0.7733008
GCF_000265385	GCA_000265385.1	Aequorivita sublithincola DSM 14238	Bacteria	FCB group	3.024453
GCF_000265405	GCA_000265405.1	Belliella baltica DSM 15883	Bacteria	FCB group	1.699561
GCF_000265425	GCA_000265425.1	Terriglobus roseus DSM 18391	Bacteria	Acidobacteria	1.881331
GCF_000265505	GCA_000265505.1	Bernardetia litoralis DSM 6794	Bacteria	FCB group	3.187149
GCF_000265525	GCA_000265525.1	Thermococcus cleftensis	Archaea	Euryarchaeota	1.553398
GCF_000266885	GCA_000266885.1	Turneriella parva DSM 21527	Bacteria	Spirochaetes	2.495059
GCF_000266925	GCA_000266925.1	Acetomicrobium mobile DSM 13181	Bacteria	Synergistetes	0.8581524
GCF_000266945	GCA_000266945.1	Desulfomonile tiedjei DSM 6799	Bacteria	Proteobacteria	3.343762
GCF_000269985	GCA_000269985.1	Kitasatospora setae KM-6054	Bacteria	Terrabacteria group	1.732085
GCF_000270245	GCA_000270245.1	Microlunatus phosphovorus NM-1	Bacteria	Terrabacteria group	1.485854
GCF_000277125	GCA_000277125.1	Mycobacterium intracellulare ATCC 13950	Bacteria	Terrabacteria group	1.07244
GCF_000277165	GCA_000277165.1	Rickettsia prowazekii str. Chernikova	Bacteria	Proteobacteria	0.8343266
GCF_000277285	GCA_000277285.1	Rickettsia typhi str. TH1527	Bacteria	Proteobacteria	0.8631319
GCF_000277895	GCA_000277895.2	Xanthomonas campestris pv. musacearum NCPPB 4379	Bacteria	Proteobacteria	1.182965
GCF_000279145	GCA_000279145.1	Melioribacter roseus P3M-2	Bacteria	FCB group	2.024433
GCF_000280865	GCA_000280865.2	Streptomyces auratus AGR0001	Bacteria	Terrabacteria group	1.621959
GCF_000280925	GCA_000280925.3	Myxococcus hansupus	Bacteria	Proteobacteria	4.140256
GCF_000281175	GCA_000281175.1	Caldilinea aerophila DSM 14535 = NBRC 104270	Bacteria	Terrabacteria group	3.709311
GCF_000283915	GCA_000283915.1	Rickettsia canadensis str. CA410	Bacteria	Proteobacteria	1.208791
GCF_000284035	GCA_000284035.1	Nocardia cyriacigeorgica GUH-2	Bacteria	Terrabacteria group	1.359911
GCF_000284075	GCA_000284075.1	Rickettsia rhipicephali str. 3-7-female6-CWPP	Bacteria	Proteobacteria	1.014832
GCF_000284115	GCA_000284115.1	Phycisphaera mikurensis NBRC 102666	Bacteria	PVC group	1.002263
GCF_000284155	GCA_000284155.1	Rickettsia australis str. Cutlack	Bacteria	Proteobacteria	0.8681926
GCF_000284275	GCA_000284275.1	Bradyrhizobium cosmicum	Bacteria	Proteobacteria	1.167085
GCF_000284295	GCA_000284295.1	Actinoplanes missouriensis 431	Bacteria	Terrabacteria group	2.304852
GCF_000284315	GCA_000284315.1	Leptospirillum ferrooxidans C2-3	Bacteria	Nitrospirae	1.634409
GCF_000284335	GCA_000284335.1	Caldisericum exile AZM16c01	Bacteria	Caldiserica/Cryosericota group	2.225219
GCF_000284355	GCA_000284355.1	Aliarcobacter butzleri ED-1	Bacteria	Proteobacteria	1.482854
GCF_000284415	GCA_000284415.2	Pararhodospirillum photometricum DSM 122	Bacteria	Proteobacteria	1.616413
GCF_000284515	GCA_000284515.1	Halobacillus halophilus DSM 2266	Bacteria	Terrabacteria group	1.305015
GCF_000284615	GCA_000284615.1	Marinobacter nauticus ATCC 49840	Bacteria	Proteobacteria	1.097355
GCF_000284635	GCA_000284635.1	Helicobacter cinaedi PAGU611	Bacteria	Proteobacteria	0.52961
GCF_000286675	GCA_000286675.1	Mycoplasma gallisepticum VA94_7994-1-7P	Bacteria	Terrabacteria group	1.338688
GCF_000287275	GCA_000287275.1	Candidatus Carsonella ruddii HC isolate Thao2000	Bacteria	Proteobacteria	0
GCF_000287335	GCA_000287335.1	secondary endosymbiont of Ctenarytaina eucalypti	Bacteria	Proteobacteria	1.12835
GCF_000287355	GCA_000287355.1	secondary endosymbiont of Heteropsylla cubana	Bacteria	Proteobacteria	0.5484461
GCF_000292685	GCA_000292685.1	Candidatus Portiera aleyrodidarum BT-B-HRs	Bacteria	Proteobacteria	0.4149378
GCF_000297055	GCA_000297055.2	Sulfuricella denitrificans skB26	Bacteria	Proteobacteria	1.685772
GCF_000297075	GCA_000297075.2	Pseudomonas pseudoalcaligenes CECT 5344	Bacteria	Proteobacteria	0.8718818
GCF_000298875	GCA_000298875.1	Leuconostoc gelidum JB7	Bacteria	Terrabacteria group	1.136364
GCF_000299335	GCA_000299335.2	Alcanivorax pacificus W11-5	Bacteria	Proteobacteria	1.458047
GCF_000299355	GCA_000299355.1	Gottschalkia acidurici 9a	Bacteria	Terrabacteria group	1.340861
GCF_000299365	GCA_000299365.1	Candidatus Nitrosopumilus koreensis AR1	Archaea	TACK group	2.806122
GCF_000299395	GCA_000299395.1	Candidatus Nitrosopumilus sediminis	Archaea	TACK group	2.621167
GCF_000300005	GCA_000300005.1	Alcanivorax dieselolei B5	Bacteria	Proteobacteria	1.182197
GCF_000300095	GCA_000300095.1	Paraburkholderia phenoliruptrix BR3459a	Bacteria	Proteobacteria	1.336406
GCF_000300255	GCA_000300255.2	Candidatus Methanomethylophilus alvus Mx1201	Archaea	Candidatus Thermoplasmatota	2.59658
GCF_000303155	GCA_000303155.1	Candidatus Nitrososphaera gargensis Ga9.2	Archaea	TACK group	1.332938
GCF_000304215	GCA_000304215.1	Bifidobacterium asteroides PRL2011	Bacteria	Terrabacteria group	2.126367
GCF_000304355	GCA_000304355.2	Methanoculleus bourgensis MS2	Archaea	Euryarchaeota	3.093187
GCF_000304455	GCA_000304455.1	Cardinium endosymbiont cEper1 of Encarsia pergandiella	Bacteria	FCB group	2.684564
GCF_000305935	GCA_000305935.1	Thermacetogenium phaeum DSM 12270	Bacteria	Terrabacteria group	1.301599
GCF_000306675	GCA_000306675.3	Leptospira mayottensis 200901116	Bacteria	Spirochaetes	1.889578
GCF_000306885	GCA_000306885.1	Wolbachia endosymbiont of Onchocerca ochengi	Bacteria	Proteobacteria	0.2890173
GCF_000307105	GCA_000307105.1	Desulfobacula toluolica Tol2	Bacteria	Proteobacteria	1.74272
GCF_000307165	GCA_000307165.1	Amphibacillus xylanus NBRC 15112	Bacteria	Terrabacteria group	1.19258
GCF_000307585	GCA_000307585.2	Thermoanaerobacterium saccharolyticum JW/SL-YS485	Bacteria	Terrabacteria group	1.138032
GCF_000309885	GCA_000309885.1	Thermus oshimai JL-2	Bacteria	Terrabacteria group	1.128291
GCF_000313175	GCA_000313175.2	Leptospira santarosai serovar Shermani str. LT 821	Bacteria	Spirochaetes	1.908066
GCF_000316515	GCA_000316515.1	Cyanobium gracile PCC 6307	Bacteria	Terrabacteria group	0.9654313
GCF_000317105	GCA_000317105.1	Oscillatoria acuminata PCC 6304	Bacteria	Terrabacteria group	7.126911
GCF_000317125	GCA_000317125.1	Chroococcidiopsis thermalis PCC 7203	Bacteria	Terrabacteria group	3.11284
GCF_000317475	GCA_000317475.1	Oscillatoria nigro-viridis PCC 7112	Bacteria	Terrabacteria group	5.897245
GCF_000317495	GCA_000317495.1	Crinalium epipsammum PCC 9333	Bacteria	Terrabacteria group	4.261954
GCF_000317515	GCA_000317515.1	Allocoleopsis franciscana PCC 7113	Bacteria	Terrabacteria group	5.810584
GCF_000317575	GCA_000317575.1	Stanieria cyanosphaera PCC 7437	Bacteria	Terrabacteria group	3.619721
GCF_000317615	GCA_000317615.1	Dactylococcopsis salina PCC 8305	Bacteria	Terrabacteria group	3.93148
GCF_000317675	GCA_000317675.1	Cyanobacterium aponinum PCC 10605	Bacteria	Terrabacteria group	2.893045
GCF_000317695	GCA_000317695.1	Anabaena cylindrica PCC 7122	Bacteria	Terrabacteria group	4.309013
GCF_000317795	GCA_000317795.1	Caldisphaera lagunensis DSM 15908	Archaea	TACK group	0.8754209
GCF_000317835	GCA_000317835.1	Deinococcus peraridilitoris DSM 19664	Bacteria	Terrabacteria group	1.81561
GCF_000319245	GCA_000319245.1	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	Bacteria	Proteobacteria	0.6793478
GCF_000319385	GCA_000319385.1	Candidatus Endolissoclinum faulkneri L2	Bacteria	Proteobacteria	1.196809
GCF_000319575	GCA_000319575.2	Spiribacter salinus M19-40	Bacteria	Proteobacteria	0.9014423
GCF_000321415	GCA_000321415.2	Thioalkalivibrio nitratireducens DSM 14787	Bacteria	Proteobacteria	1.67551
GCF_000325705	GCA_000325705.1	Echinicola vietnamensis DSM 17526	Bacteria	FCB group	1.812342
GCF_000327045	GCA_000327045.1	Thioflavicoccus mobilis 8321	Bacteria	Proteobacteria	1.456311
GCF_000327395	GCA_000327395.2	Mycoplasma feriruminatoris	Bacteria	Terrabacteria group	4.018913
GCF_000327485	GCA_000327485.1	Methanoregula formicica SMSP	Archaea	Euryarchaeota	2.872531
GCF_000328525	GCA_000328525.1	Halovivax ruber XH-70	Archaea	Euryarchaeota	1.676529
GCF_000328545	GCA_000328545.1	Thermoanaerobacterium thermosaccharolyticum M0795	Bacteria	Terrabacteria group	0.9174312
GCF_000328625	GCA_000328625.1	Halobacteroides halobius DSM 5150	Bacteria	Terrabacteria group	1.721311
GCF_000328665	GCA_000328665.1	Methanomethylovorans hollandica DSM 15978	Archaea	Euryarchaeota	3.30414
GCF_000328685	GCA_000328685.1	Natronococcus occultus SP4	Archaea	Euryarchaeota	1.902239
GCF_000328705	GCA_000328705.1	Saccharothrix espanaensis DSM 44229	Bacteria	Terrabacteria group	1.92451
GCF_000328725	GCA_000328725.1	Mycoplasmopsis cynos C142	Bacteria	Terrabacteria group	2.230971
GCF_000330885	GCA_000330885.1	Rhizobium tropici CIAT 899	Bacteria	Proteobacteria	1.100706
GCF_000331065	GCA_000331065.1	Candidatus Blochmannia chromaiodes str. 640	Bacteria	Proteobacteria	0.8431703
GCF_000331185	GCA_000331185.2	Streptomyces rimosus subsp. rimosus ATCC 10970	Bacteria	Terrabacteria group	1.646912
GCF_000331715	GCA_000331715.1	Lawsonia intracellularis N343	Bacteria	Proteobacteria	1.339915
GCF_000331735	GCA_000331735.1	Myxococcus stipitatus DSM 14675	Bacteria	Proteobacteria	3.811486
GCF_000331995	GCA_000331995.1	Thermoclostridium stercorarium subsp. stercorarium DSM 8532	Bacteria	Terrabacteria group	1.657905
GCF_000340435	GCA_000340435.3	Mycobacterium haemophilum DSM 44634	Bacteria	Terrabacteria group	1.318977
GCF_000340795	GCA_000340795.1	Candidatus Kinetoplastibacterium desouzaii TCC079E	Bacteria	Proteobacteria	0.8185539
GCF_000340825	GCA_000340825.1	Candidatus Kinetoplastibacterium crithidii TCC036E	Bacteria	Proteobacteria	0.6906077
GCF_000340865	GCA_000340865.1	Candidatus Kinetoplastibacterium oncopeltii TCC290E	Bacteria	Proteobacteria	0.5730659
GCF_000340885	GCA_000340885.1	Clostridium saccharoperbutylacetonicum N1-4(HMT)	Bacteria	Terrabacteria group	1.902601
GCF_000340905	GCA_000340905.1	Candidatus Kinetoplastibacterium galatii TCC219	Bacteria	Proteobacteria	0.6944444
GCF_000341345	GCA_000341345.1	Corynebacterium halotolerans YIM 70093 = DSM 44683	Bacteria	Terrabacteria group	1.17731
GCF_000341355	GCA_000341355.1	Bartonella australis AUST/NH1	Bacteria	Proteobacteria	1.394268
GCF_000341395	GCA_000341395.1	Desulfocapsa sulfexigens DSM 10523	Bacteria	Proteobacteria	1.936219
GCF_000344785	GCA_000344785.1	Corynebacterium callunae DSM 20147	Bacteria	Terrabacteria group	1.344602
GCF_000344805	GCA_000344805.1	Bradyrhizobium oligotrophicum S58	Bacteria	Proteobacteria	1.50504
GCF_000346065	GCA_000346065.1	Sinorhizobium meliloti 2011	Bacteria	Proteobacteria	1.28612
GCF_000348725	GCA_000348725.1	Pseudobdellovibrio exovorus JSS	Bacteria	Proteobacteria	1.328125
GCF_000348785	GCA_000348785.1	Ilumatobacter coccineus YM16-304	Bacteria	Terrabacteria group	3.416747
GCF_000348805	GCA_000348805.1	Blattabacterium cuenoti BPAA	Bacteria	FCB group	0.5190311
GCF_000355675	GCA_000355675.1	Thalassolituus oleivorans MIL-1	Bacteria	Proteobacteria	1.479118
GCF_000355765	GCA_000355765.4	Nitrosospira lacus	Bacteria	Proteobacteria	1.690736
GCF_000359525	GCA_000359525.1	Streptomyces albidoflavus	Bacteria	Terrabacteria group	1.379672
GCF_000364725	GCA_000364725.1	Candidatus Moranella endobia PCVAL	Bacteria	Proteobacteria	0.7556675
GCF_000367205	GCA_000367205.1	Cutibacterium avidum 44067	Bacteria	Terrabacteria group	0.9345794
GCF_000376545	GCA_000376545.2	Tritonibacter mobilis F1926	Bacteria	Proteobacteria	1.057844
GCF_000376605	GCA_000376605.1	Wolbachia endosymbiont of Drosophila simulans wHa	Bacteria	Proteobacteria	3.301477
GCF_000376705	GCA_000376705.1	Cutibacterium acnes HL096PA1	Bacteria	Terrabacteria group	0.8435259
GCF_000385565	GCA_000385565.1	Archaeoglobus sulfaticallidus PM70-1	Archaea	Euryarchaeota	2.076749
GCF_000389675	GCA_000389675.2	Lactobacillus acidophilus La-14	Bacteria	Terrabacteria group	1.348315
GCF_000392435	GCA_000392435.1	Candidatus Saccharimonas aalborgensis	Bacteria	Bacteria incertae sedis	1.470588
GCF_000397185	GCA_000397185.1	Strawberry lethal yellows phytoplasma (CPA) str. NZSb11	Bacteria	Terrabacteria group	5.427252
GCF_000400635	GCA_000400635.2	Amycolatopsis keratiniphila	Bacteria	Terrabacteria group	1.641975
GCF_000400935	GCA_000400935.1	Spiroplasma chrysopicola DF-1	Bacteria	Terrabacteria group	1.879327
GCF_000400955	GCA_000400955.1	Spiroplasma syrphidicola EA-1	Bacteria	Terrabacteria group	1.919192
GCF_000402035	GCA_000402035.1	Caballeronia insecticola	Bacteria	Proteobacteria	1.203466
GCF_000404185	GCA_000404185.1	Corynebacterium glutamicum SCgG2	Bacteria	Terrabacteria group	1.279031
GCF_000412675	GCA_000412675.1	Pseudomonas putida NBRC 14164	Bacteria	Proteobacteria	1.123385
GCF_000418365	GCA_000418365.1	Corynebacterium terpenotabidum Y-11	Bacteria	Terrabacteria group	1.206897
GCF_000439255	GCA_000439255.1	Salmonella bongori N268-08	Bacteria	Proteobacteria	1.207057
GCF_000439435	GCA_000439435.1	Spiroplasma taiwanense CT-1	Bacteria	Terrabacteria group	0.7662835
GCF_000439455	GCA_000439455.1	Spiroplasma diminutum CUAS-1	Bacteria	Terrabacteria group	0.942285
GCF_000439775	GCA_000439775.1	Anaplasma phagocytophilum str. JM	Bacteria	Proteobacteria	2.373581
GCF_000441555	GCA_000441555.1	Candidatus Profftella armatura	Bacteria	Proteobacteria	1.445087
GCF_000442645	GCA_000442645.1	Corynebacterium maris DSM 45190	Bacteria	Terrabacteria group	1.26183
GCF_000444875	GCA_000444875.1	Streptomyces collinus Tu 365	Bacteria	Terrabacteria group	2.01323
GCF_000444995	GCA_000444995.1	Paracoccus aminophilus JCM 7686	Bacteria	Proteobacteria	1.330377
GCF_000447675	GCA_000447675.1	Treponema pedis str. T A4	Bacteria	Spirochaetes	1.584786
GCF_000454025	GCA_000454025.1	Amycolatopsis mediterranei RB	Bacteria	Terrabacteria group	1.942894
GCF_000455605	GCA_000455605.1	Flavobacterium indicum GPTSA100-9 = DSM 17447	Bacteria	FCB group	2.337662
GCF_000468615	GCA_000468615.2	Cellulophaga baltica 18	Bacteria	FCB group	2.22279
GCF_000468955	GCA_000468955.1	Lactococcus lactis subsp. cremoris KW2	Bacteria	Terrabacteria group	2.320393
GCF_000470655	GCA_000470655.1	Halorhabdus tiamatea SARL4B	Archaea	Euryarchaeota	2.246449
GCF_000470775	GCA_000470775.1	Leifsonia xyli subsp. cynodontis DSM 46306	Bacteria	Terrabacteria group	1.209503
GCF_000471025	GCA_000471025.2	Chlamydia gallinacea 08-1274/3	Bacteria	PVC group	1.321586
GCF_000473245	GCA_000473245.1	Bacillus infantis NRRL B-14911	Bacteria	Terrabacteria group	1.334194
GCF_000473995	GCA_000473995.1	Clostridium saccharobutylicum DSM 13864	Bacteria	Terrabacteria group	2.369668
GCF_000477435	GCA_000477435.1	Candidatus Symbiobacter mobilis CR	Bacteria	Proteobacteria	2.163768
GCF_000478885	GCA_000478885.1	Adlercreutzia equolifaciens DSM 19450	Bacteria	Terrabacteria group	1.615799
GCF_000484535	GCA_000484535.1	Gloeobacter kilaueensis JS1	Bacteria	Terrabacteria group	3.61308
GCF_000485905	GCA_000485905.1	Spiribacter curvatus	Bacteria	Proteobacteria	0.9219089
GCF_000494755	GCA_000494755.1	Actinoplanes friuliensis DSM 7358	Bacteria	Terrabacteria group	2.437301
GCF_000496595	GCA_000496595.1	Candidatus Liberibacter americanus str. Sao Paulo	Bacteria	Proteobacteria	0.7352941
GCF_000498975	GCA_000498975.2	Pseudomonas soli	Bacteria	Proteobacteria	1.160507
GCF_000499665	GCA_000499665.2	Rickettsia monacensis	Bacteria	Proteobacteria	0.8573655
GCF_000500935	GCA_000500935.1	Spiroplasma apis B31	Bacteria	Terrabacteria group	0.5128205
GCF_000503895	GCA_000503895.1	Hyphomicrobium nitrativorans NL23	Bacteria	Proteobacteria	1.505839
GCF_000504085	GCA_000504085.1	Pseudothermotoga elfii DSM 9442 = NBRC 107921	Bacteria	Thermotogae	1.21773
GCF_000504105	GCA_000504105.1	Pseudothermotoga hypogea DSM 11164 = NBRC 106472	Bacteria	Thermotogae	1.452785
GCF_000504585	GCA_000504585.2	Pandoraea pnomenusa	Bacteria	Proteobacteria	1.101988
GCF_000505725	GCA_000505725.1	Francisella orientalis LADL--07-285A	Bacteria	Proteobacteria	0.9269988
GCF_000507245	GCA_000507245.1	Salinispira pacifica	Bacteria	Spirochaetes	1.063487
GCF_000508225	GCA_000508225.1	Ehrlichia muris AS145	Bacteria	Proteobacteria	1.934016
GCF_000511305	GCA_000511305.1	Rhodococcus pyridinivorans SB3094	Bacteria	Terrabacteria group	1.053698
GCF_000511355	GCA_000511355.1	Leisingera methylohalidivorans DSM 14336	Bacteria	Proteobacteria	1.114008
GCF_000512145	GCA_000512145.2	Borrelia parkeri HR1	Bacteria	Spirochaetes	2.255639
GCF_000512205	GCA_000512205.2	Sphingomonas sanxanigenens DSM 19645 = NX02	Bacteria	Proteobacteria	0.8707301
GCF_000512735	GCA_000512735.1	Thermocrinis ruber	Bacteria	Aquificae	0.9392611
GCF_000512915	GCA_000512915.1	Barnesiella viscericola DSM 18177	Bacteria	FCB group	2.119853
GCF_000513295	GCA_000513295.1	Magnetospirillum gryphiswaldense MSR-1 v2	Bacteria	Proteobacteria	1.610063
GCF_000513475	GCA_000513475.1	Candidatus Babela massiliensis	Bacteria	Bacteria incertae sedis	9.597523
GCF_000517305	GCA_000517305.1	Pseudomonas cichorii JBC1	Bacteria	Proteobacteria	1.219025
GCF_000517365	GCA_000517365.1	Spiroplasma mirum ATCC 29335	Bacteria	Terrabacteria group	0.5833333
GCF_000517405	GCA_000517405.1	Candidatus Sodalis pierantonius str. SOPE	Bacteria	Proteobacteria	0.9017413
GCF_000517425	GCA_000517425.1	Sodalis praecaptivus	Bacteria	Proteobacteria	2.094361
GCF_000517445	GCA_000517445.1	Thermococcus paralvinellae	Archaea	Euryarchaeota	1.854494
GCF_000517625	GCA_000517625.1	Halostagnicola larsenii XH-48	Archaea	Euryarchaeota	1.435161
GCF_000520015	GCA_000520015.2	Chania multitudinisentens RB-25	Bacteria	Proteobacteria	1.16748
GCF_000521505	GCA_000521505.1	Advenella mimigardefordensis DPN7	Bacteria	Proteobacteria	1.185115
GCF_000521695	GCA_000521695.1	Mannheimia varigena USDA-ARS-USMARC-1312	Bacteria	Proteobacteria	1.356994
GCF_000521725	GCA_000521725.1	Bibersteinia trehalosi USDA-ARS-USMARC-188	Bacteria	Proteobacteria	2.145295
GCF_000522545	GCA_000522545.2	Paraburkholderia caribensis MBA4	Bacteria	Proteobacteria	1.307749
GCF_000522985	GCA_000522985.1	Gemmatirosa kalamazoonesis	Bacteria	FCB group	2.419737
GCF_000524555	GCA_000524555.1	Mesomycoplasma bovoculi M165/69	Bacteria	Terrabacteria group	1.551724
GCF_000525635	GCA_000525635.1	Kutzneria albida DSM 43870	Bacteria	Terrabacteria group	1.826753
GCF_000530755	GCA_000530755.1	Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon	Bacteria	Proteobacteria	0.2902758
GCF_000550785	GCA_000550785.1	Corynebacterium casei LMG S-19264	Bacteria	Terrabacteria group	1.006336
GCF_000550805	GCA_000550805.1	Corynebacterium vitaeruminis DSM 20294	Bacteria	Terrabacteria group	1.431981
GCF_000565175	GCA_000565175.1	Spiroplasma culicicola AES-1	Bacteria	Terrabacteria group	1.425856
GCF_000565215	GCA_000565215.1	Spiroplasma sabaudiense Ar-1343	Bacteria	Terrabacteria group	0.5446623
GCF_000568815	GCA_000568815.1	Sulfurospirillum multivorans DSM 12446	Bacteria	Proteobacteria	0.9931719
GCF_000576555	GCA_000576555.1	Hymenobacter swuensis DY53	Bacteria	FCB group	2.351345
GCF_000577895	GCA_000577895.1	Clostridium bornimense	Bacteria	Terrabacteria group	2.100062
GCF_000582515	GCA_000582515.1	Yersinia similis	Bacteria	Proteobacteria	1.438849
GCF_000582535	GCA_000582535.1	Candidatus Hepatoplasma crinochetorum Av	Bacteria	Terrabacteria group	3.508772
GCF_000583855	GCA_000583855.1	Gluconobacter oxydans DSM 3504	Bacteria	Proteobacteria	0.9881423
GCF_000585495	GCA_000585495.1	Thermococcus nautili	Archaea	Euryarchaeota	1.439851
GCF_000590555	GCA_000590555.1	Corynebacterium argentoratense DSM 44202	Bacteria	Terrabacteria group	1.238739
GCF_000590795	GCA_000590795.1	Brucella ceti TE10759-12	Bacteria	Proteobacteria	1.077886
GCF_000590925	GCA_000590925.1	Roseibacterium elongatum DSM 19469	Bacteria	Proteobacteria	1.663528
GCF_000591035	GCA_000591035.1	Aeropyrum camini SY1 = JCM 12091	Archaea	TACK group	0.623053
GCF_000591055	GCA_000591055.1	Natronomonas moolapensis 8.8.11	Archaea	Euryarchaeota	2.471347
GCF_000597865	GCA_000597865.1	Peptoclostridium acidaminophilum DSM 3953	Bacteria	Terrabacteria group	1.050344
GCF_000599985	GCA_000599985.1	Gilliamella apicola	Bacteria	Proteobacteria	1.284473
GCF_000600005	GCA_000600005.1	Snodgrassella alvi wkB2	Bacteria	Proteobacteria	1.808905
GCF_000600105	GCA_000600105.1	Lysinibacillus varians	Bacteria	Terrabacteria group	1.466276
GCF_000612055	GCA_000612055.1	Trueperella pyogenes	Bacteria	Terrabacteria group	1.441352
GCF_000612505	GCA_000612505.1	Paenibacillus sabinae T27	Bacteria	Terrabacteria group	1.120981
GCF_000612685	GCA_000612685.1	Castellaniella defragrans 65Phen	Bacteria	Proteobacteria	1.082188
GCF_000612965	GCA_000612965.1	Bartonella henselae	Bacteria	Proteobacteria	1.643836
GCF_000619905	GCA_000619905.2	Nitrosospira briensis C-128	Bacteria	Proteobacteria	1.89781
GCF_000626675	GCA_000626675.1	Corynebacterium glyciniphilum AJ 3170	Bacteria	Terrabacteria group	0.8942337
GCF_000632965	GCA_000632965.1	Ehrlichia chaffeensis str. West Paces	Bacteria	Proteobacteria	3.171008
GCF_000632985	GCA_000632985.1	Neorickettsia helminthoeca str. Oregon	Bacteria	Proteobacteria	2.564103
GCF_000691605	GCA_000691605.1	Bdellovibrio bacteriovorus	Bacteria	Proteobacteria	2.170888
GCF_000695095	GCA_000695095.2	Gemmatimonas phototrophica	Bacteria	FCB group	2.127101
